#RESOURCE=yCat_36560049
#Name: J/A+A/656/A49
#Title: Decoding the morphological evolution of open clusters (Hu+, 2021)
#Table	J_A_A_656_A49_table1:
#Name: J/A+A/656/A49/table1
#Title: The parameters of 1256 open clusters
#Column	Cluster	(a18)	Cluster name	[ucd=meta.id;meta.main]
#Column	ecore	(F7.4)	Ellipticity of the core	[ucd=src.ellipticity]
#Column	e_ecore	(F7.4)	Error corresponding to ellipticity of the core	[ucd=stat.error]
#Column	qcore	(F8.4)	Orientation of the core	[ucd=pos.posAng]
#Column	eall	(F7.4)	Ellipticity of the overall	[ucd=src.ellipticity]
#Column	e_eall	(F7.4)	Error corresponding to ellipticity of the overall	[ucd=stat.error]
#Column	qall	(F8.4)	Orientation of the overall	[ucd=pos.posAng]
#Column	acore	(F7.4)	Half-length axes of the core	[ucd=phys.angSize]
#Column	e_acore	(F7.4)	Error corresponding to half-length axes of the core	[ucd=stat.error]
#Column	ccore	(F7.4)	Half-short axes of the core	[ucd=phys.angSize;src]
#Column	e_ccore	(F7.4)	Error corresponding to half-short axes of the core	[ucd=stat.error]
#Column	aall	(F7.4)	Half-length axes of the overall	[ucd=phys.angSize]
#Column	e_aall	(F7.4)	Error corresponding to half-length axes of the overall	[ucd=stat.error]
#Column	call	(F7.4)	Half-short axes of the overall	[ucd=phys.angSize;src]
#Column	e_call	(F7.4)	Error corresponding to half-short axes of the overall	[ucd=stat.error]
#Column	epm	(F7.4)	Ellipticity in proper motion	[ucd=src.ellipticity]
#Column	e_epm	(F7.4)	Error of ellipticity in proper motion	[ucd=stat.error]
#Column	qpm	(F8.4)	Orientation in proper motion	[ucd=pos.pm;pos.posAng]
#
Cluster           ;ecore  ;e_ecore;qcore   ;eall   ;e_eall ;qall    ;acore  ;e_acore;ccore  ;e_ccore;aall   ;e_aall ;call   ;e_call ;epm    ;e_epm  ;qpm
Alessi_37         ; 0.1351; 0.0213; -3.5475; 0.0845; 0.1765;-39.0268; 0.3102; 0.0050; 0.2683; 0.0050; 1.0617; 0.1382; 0.9720; 0.1382; 0.1306; 0.0990; 86.3373
Alessi_43         ; 0.4662; 0.0291; 21.2047; 0.3734; 0.0881; -8.7771; 0.2949; 0.0076; 0.1574; 0.0076; 0.7817; 0.0584; 0.4898; 0.0584; 0.0926; 0.0635;-32.7248
Alessi_44         ; 0.4075; 0.2695; 37.6198; 0.1838; 0.0319; 11.5969; 1.9509; 0.4523; 1.1559; 0.4523; 3.2936; 0.0814; 2.6881; 0.0814; 0.2456; 0.0647;-89.1738
Alessi_5          ; 0.1740; 0.0071;-29.6738; 0.2929; 0.0871; -1.4362; 0.4349; 0.0024; 0.3593; 0.0024; 1.3269; 0.0943; 0.9382; 0.0943; 0.2933; 0.2935;-46.1004
Alessi_53         ; 0.1260; 0.0312;-44.7052; 0.1115; 0.1383;-38.6287; 0.0354; 0.0008; 0.0309; 0.0008; 0.1151; 0.0119; 0.1022; 0.0119; 0.3344; 0.0640; 82.5844
Alessi_6          ; 0.0972; 0.0104; -6.5231; 0.2560; 0.1957;  1.4307; 0.2796; 0.0022; 0.2524; 0.0022; 1.0783; 0.1693; 0.8023; 0.1693; 0.0682; 0.2126;-42.9399
Alessi_60         ; 0.1288; 0.0330; 44.2848; 0.0778; 0.0890;  1.0391; 0.0595; 0.0015; 0.0519; 0.0015; 0.1794; 0.0117; 0.1655; 0.0117; 0.1987; 0.0759;-20.8144
Alessi_62         ; 0.2652; 0.0304;-17.7534; 0.3939; 0.0596;-11.7236; 0.2309; 0.0057; 0.1697; 0.0057; 0.7728; 0.0394; 0.4684; 0.0394; 0.2379; 0.1995; 40.1125
Alessi_8          ; 0.2401; 0.0219; -0.2506; 0.0537; 0.1663;  7.5292; 0.2492; 0.0043; 0.1894; 0.0043; 0.6819; 0.0824; 0.6453; 0.0824; 0.2065; 0.2180; 28.9773
Alessi_9          ; 0.3353; 0.0135; -2.6541; 0.3796; 0.0844; -9.8306; 1.4383; 0.0161; 0.9560; 0.0161; 5.2030; 0.3733; 3.2282; 0.3733; 0.3392; 0.0814; 64.6334
